PassengerId,Survived
892,1
893,0
894,1
895,1
896,1
897,0
898,0
899,0
900,1
901,0
902,0
903,1
904,0
905,1
906,1
907,1
908,0
909,0
910,0
911,0
912,1
913,1
914,1
915,0
916,1
917,0
918,0
919,1
920,1
921,1
922,1
923,0
924,1
925,1
926,0
927,0
928,1
929,1
930,1
931,1
932,0
933,1
934,1
935,1
936,1
937,0
938,0
939,1
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,1
949,1
950,0
951,0
952,0
953,1
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,1
962,0
963,0
964,0
965,0
966,1
967,1
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,0
976,0
977,0
978,0
979,1
980,1
981,0
982,1
983,1
984,1
985,0
986,1
987,1
988,0
989,1
990,0
991,1
992,0
993,0
994,0
995,1
996,0
997,1
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,0
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,1
1036,1
1037,0
1038,0
1039,0
1040,0
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,1
1049,0
1050,1
1051,0
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1080,0
1081,1
1082,0
1083,0
1084,0
1085,1
1086,1
1087,0
1088,1
1089,0
1090,0
1091,0
1092,1
1093,0
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,1
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,1
1117,1
1118,1
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,1
1132,1
1133,0
1134,1
1135,0
1136,1
1137,1
1138,1
1139,0
1140,1
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,0
1149,0
1150,0
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,0
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,0
1169,0
1170,0
1171,1
1172,0
1173,0
1174,0
1175,0
1176,1
1177,0
1178,0
1179,0
1180,1
1181,0
1182,1
1183,0
1184,0
1185,1
1186,1
1187,0
1188,0
1189,0
1190,1
1191,1
1192,0
1193,0
1194,1
1195,0
1196,0
1197,0
1198,1
1199,1
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,0
1207,0
1208,0
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,0
1224,0
1225,0
1226,1
1227,1
1228,1
1229,1
1230,0
1231,0
1232,0
1233,1
1234,0
1235,0
1236,0
1237,1
1238,1
1239,1
1240,1
1241,0
1242,1
1243,0
1244,1
1245,1
1246,0
1247,1
1248,0
1249,0
1250,1
1251,0
1252,0
1253,1
1254,0
1255,1
1256,0
1257,1
1258,1
1259,1
1260,1
1261,0
1262,1
1263,1
1264,1
1265,1
1266,1
1267,0
1268,1
1269,1
1270,1
1271,0
1272,0
1273,0
1274,1
1275,1
1276,0
1277,1
1278,1
1279,0
1280,1
1281,0
1282,0
1283,0
1284,0
1285,0
1286,1
1287,1
1288,1
1289,0
1290,1
1291,0
1292,0
1293,1
1294,0
1295,1
1296,1
1297,1
1298,1
1299,0
1300,1
1301,1
1302,0
1303,0
1304,0
1305,1
1306,1
1307,1
1308,0
1309,1
