PassengerId,Survived
892,0
893,1
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,1
904,1
905,0
906,0
907,0
908,0
909,0
910,1
911,0
912,1
913,1
914,0
915,1
916,0
917,1
918,0
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,1
932,0
933,0
934,1
935,0
936,0
937,1
938,1
939,0
940,0
941,1
942,0
943,1
944,0
945,0
946,0
947,1
948,0
949,0
950,1
951,1
952,0
953,0
954,1
955,1
956,1
957,0
958,1
959,1
960,0
961,1
962,1
963,0
964,0
965,1
966,1
967,1
968,1
969,1
970,0
971,1
972,0
973,1
974,0
975,0
976,0
977,1
978,1
979,1
980,0
981,1
982,0
983,0
984,0
985,1
986,1
987,1
988,0
989,0
990,1
991,1
992,0
993,1
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,1
1028,0
1029,0
1030,0
1031,0
1032,1
1033,1
1034,1
1035,0
1036,0
1037,0
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,1
1045,1
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,1
1054,0
1055,1
1056,1
1057,0
1058,1
1059,1
1060,0
1061,1
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,1
1081,1
1082,0
1083,0
1084,1
1085,1
1086,0
1087,1
1088,0
1089,1
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,1
1103,0
1104,0
1105,1
1106,1
1107,0
1108,0
1109,0
1110,1
1111,1
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,0
1119,1
1120,1
1121,1
1122,1
1123,0
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,0
1137,0
1138,1
1139,0
1140,0
1141,0
1142,1
1143,1
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,0
1153,0
1154,1
1155,1
1156,0
1157,0
1158,1
1159,0
1160,1
1161,1
1162,0
1163,1
1164,1
1165,0
1166,0
1167,0
1168,1
1169,1
1170,0
1171,0
1172,1
1173,1
1174,0
1175,1
1176,1
1177,0
1178,1
1179,1
1180,1
1181,0
1182,1
1183,0
1184,0
1185,1
1186,0
1187,0
1188,1
1189,0
1190,1
1191,0
1192,1
1193,1
1194,0
1195,0
1196,1
1197,0
1198,0
1199,1
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,0
1207,1
1208,0
1209,1
1210,1
1211,0
1212,1
1213,0
1214,1
1215,0
1216,1
1217,0
1218,1
1219,1
1220,1
1221,0
1222,1
1223,1
1224,0
1225,1
1226,0
1227,1
1228,1
1229,1
1230,1
1231,0
1232,1
1233,0
1234,0
1235,1
1236,1
1237,0
1238,1
1239,1
1240,1
1241,0
1242,1
1243,1
1244,1
1245,1
1246,0
1247,1
1248,1
1249,1
1250,0
1251,1
1252,1
1253,1
1254,1
1255,0
1256,0
1257,1
1258,0
1259,1
1260,1
1261,0
1262,1
1263,1
1264,1
1265,1
1266,0
1267,0
1268,0
1269,1
1270,0
1271,1
1272,1
1273,1
1274,0
1275,1
1276,1
1277,1
1278,1
1279,0
1280,0
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,0
1288,1
1289,1
1290,1
1291,0
1292,0
1293,0
1294,1
1295,1
1296,0
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,1
1304,0
1305,1
1306,0
1307,0
1308,1
1309,1
