,Date,Hour,Temperature,Humidity,Wind speed,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Partner 1,Partner 2,Rental Count,Temp_Cat
0,2017-12-01,0,-5.2,37,2.2,0.0,0.0,Winter,False,1,207,50,257,Freezing
1,2017-12-01,1,-5.5,38,0.8,0.0,0.0,Winter,False,1,139,80,219,Freezing
2,2017-12-01,2,-6.0,39,1.0,0.0,0.0,Winter,False,1,22,140,162,Freezing
3,2017-12-01,3,-6.2,40,0.9,0.0,0.0,Winter,False,1,43,105,148,Freezing
4,2017-12-01,4,-6.0,36,2.3,0.0,0.0,Winter,False,1,59,38,97,Freezing
5,2017-12-01,5,-6.4,37,1.5,0.0,0.0,Winter,False,1,75,98,173,Freezing
6,2017-12-01,6,-6.6,35,1.3,0.0,0.0,Winter,False,1,144,23,167,Freezing
7,2017-12-01,7,-7.4,38,0.9,0.0,0.0,Winter,False,1,394,89,483,Freezing
8,2017-12-01,8,-7.6,37,1.1,0.0,0.0,Winter,False,1,227,626,853,Freezing
9,2017-12-01,9,-6.5,27,0.5,0.0,0.0,Winter,False,1,91,147,238,Freezing
10,2017-12-01,10,-3.5,24,1.2,0.0,0.0,Winter,False,1,338,47,385,Freezing
11,2017-12-01,11,-0.5,21,1.3,0.0,0.0,Winter,False,1,136,198,334,Freezing
12,2017-12-01,12,1.7,23,1.4,0.0,0.0,Winter,False,1,376,216,592,Chilly
13,2017-12-01,13,2.4,25,1.6,0.0,0.0,Winter,False,1,304,396,700,Chilly
14,2017-12-01,14,3.0,26,2.0,0.0,0.0,Winter,False,1,206,284,490,Chilly
15,2017-12-01,15,2.1,36,3.2,0.0,0.0,Winter,False,1,378,439,817,Chilly
16,2017-12-01,16,1.2,54,4.2,0.0,0.0,Winter,False,1,45,139,184,Chilly
17,2017-12-01,17,0.8,58,1.6,0.0,0.0,Winter,False,1,44,424,468,Chilly
18,2017-12-01,18,0.6,66,1.4,0.0,0.0,Winter,False,1,707,217,924,Chilly
19,2017-12-01,19,0.0,77,1.7,0.0,0.0,Winter,False,1,484,433,917,Chilly
20,2017-12-01,20,-0.3,79,1.5,0.0,0.0,Winter,False,1,111,73,184,Freezing
21,2017-12-01,21,-0.8,81,0.8,0.0,0.0,Winter,False,1,37,282,319,Freezing
22,2017-12-01,22,-0.9,83,1.5,0.0,0.0,Winter,False,1,167,306,473,Freezing
23,2017-12-01,23,-1.3,84,1.0,0.0,0.0,Winter,False,1,15,203,218,Freezing
24,2017-12-02,0,-1.8,87,1.1,0.0,0.0,Winter,False,1,199,0,199,Freezing
25,2017-12-02,1,-2.2,86,0.6,0.0,0.0,Winter,False,1,117,14,131,Freezing
26,2017-12-02,2,-2.9,86,1.5,0.0,0.0,Winter,False,1,106,73,179,Freezing
27,2017-12-02,3,-3.5,81,2.2,0.0,0.0,Winter,False,1,41,88,129,Freezing
28,2017-12-02,4,-3.8,79,2.0,0.0,0.0,Winter,False,1,55,0,55,Freezing
29,2017-12-02,5,-4.0,79,1.5,0.0,0.0,Winter,False,1,52,58,110,Freezing
30,2017-12-02,6,-4.3,82,2.1,0.0,0.0,Winter,False,1,21,64,85,Freezing
31,2017-12-02,7,-4.4,81,2.5,0.0,0.0,Winter,False,1,64,69,133,Freezing
32,2017-12-02,8,-4.2,79,2.1,0.0,0.0,Winter,False,1,51,32,83,Freezing
33,2017-12-02,9,-2.9,68,1.6,0.0,0.0,Winter,False,1,232,250,482,Freezing
34,2017-12-02,10,-0.4,57,1.6,0.0,0.0,Winter,False,1,145,194,339,Freezing
35,2017-12-02,11,1.9,49,1.8,0.0,0.0,Winter,False,1,42,377,419,Chilly
36,2017-12-02,12,4.3,41,1.3,0.0,0.0,Winter,False,1,463,340,803,Chilly
37,2017-12-02,13,6.0,36,1.8,0.0,0.0,Winter,False,1,545,114,659,Chilly
38,2017-12-02,14,7.3,35,1.3,0.0,0.0,Winter,False,1,495,559,1054,Chilly
39,2017-12-02,15,,41,2.3,0.0,0.0,Winter,False,1,490,198,688,
40,2017-12-02,16,6.4,48,2.6,0.0,0.0,Winter,False,1,476,116,592,Chilly
41,2017-12-02,17,6.0,51,2.5,0.0,0.0,Winter,False,1,95,46,141,Chilly
42,2017-12-02,18,5.5,53,1.5,0.0,0.0,Winter,False,1,208,73,281,Chilly
43,2017-12-02,19,5.0,52,2.3,0.0,0.0,Winter,False,1,291,334,625,Chilly
44,2017-12-02,20,4.6,51,1.2,0.0,0.0,Winter,False,1,142,291,433,Chilly
45,2017-12-02,21,4.1,55,1.2,0.0,0.0,Winter,False,1,323,105,428,Chilly
46,2017-12-02,22,3.5,54,1.5,0.0,0.0,Winter,False,1,126,11,137,Chilly
47,2017-12-02,23,4.0,56,1.0,0.0,0.0,Winter,False,1,184,35,219,Chilly
48,2017-12-03,0,4.0,58,1.4,0.0,0.0,Winter,False,1,208,69,277,Chilly
49,2017-12-03,1,3.9,69,1.7,0.0,0.0,Winter,False,1,100,165,265,Chilly
50,2017-12-03,2,,79,1.4,0.0,0.0,Winter,False,1,208,54,262,
51,2017-12-03,3,3.4,71,1.6,0.5,0.0,Winter,False,1,39,39,78,Chilly
52,2017-12-03,4,3.5,73,1.0,0.0,0.0,Winter,False,1,74,21,95,Chilly
53,2017-12-03,5,3.9,75,1.9,0.0,0.0,Winter,False,1,4,4,8,Chilly
54,2017-12-03,6,3.4,86,2.5,1.0,0.0,Winter,False,1,1,11,12,Chilly
55,2017-12-03,7,3.1,91,1.2,0.0,0.0,Winter,False,1,12,2,14,Chilly
56,2017-12-03,8,3.2,92,1.8,0.0,0.0,Winter,False,1,28,44,72,Chilly
57,2017-12-03,9,3.5,91,1.8,2.5,0.0,Winter,False,1,121,151,272,Chilly
58,2017-12-03,10,4.4,89,2.2,0.0,0.0,Winter,False,1,70,171,241,Chilly
59,2017-12-03,11,5.1,87,1.4,0.0,0.0,Winter,False,1,70,144,214,Chilly
60,2017-12-03,12,5.8,85,1.7,0.0,0.0,Winter,False,1,322,214,536,Chilly
61,2017-12-03,13,6.8,81,1.9,0.0,0.0,Winter,False,1,372,392,764,Chilly
62,2017-12-03,14,7.6,76,1.2,0.0,0.0,Winter,False,1,113,516,629,Chilly
63,2017-12-03,15,8.0,73,1.6,0.0,0.0,Winter,False,1,552,357,909,Chilly
64,2017-12-03,16,,77,1.6,0.0,0.0,Winter,False,1,49,528,577,
65,2017-12-03,17,6.7,82,1.5,0.0,0.0,Winter,False,1,440,491,931,Chilly
66,2017-12-03,18,6.0,84,1.9,0.0,0.0,Winter,False,1,111,140,251,Chilly
67,2017-12-03,19,5.7,85,1.7,0.0,0.0,Winter,False,1,147,409,556,Chilly
68,2017-12-03,20,5.2,87,1.4,0.0,0.0,Winter,False,1,365,62,427,Chilly
69,2017-12-03,21,4.7,87,1.2,0.0,0.0,Winter,False,1,291,282,573,Chilly
70,2017-12-03,22,4.3,89,1.8,0.0,0.0,Winter,False,1,90,331,421,Chilly
71,2017-12-03,23,3.9,90,1.3,0.0,0.0,Winter,False,1,167,93,260,Chilly
72,2017-12-04,0,4.2,88,0.6,0.0,0.0,Winter,False,1,86,247,333,Chilly
73,2017-12-04,1,4.3,87,0.5,0.0,0.0,Winter,False,1,153,185,338,Chilly
74,2017-12-04,2,4.4,87,1.8,0.0,0.0,Winter,False,1,55,108,163,Chilly
75,2017-12-04,3,3.6,85,2.3,0.0,0.0,Winter,False,1,11,42,53,Chilly
76,2017-12-04,4,2.8,89,1.5,0.0,0.0,Winter,False,1,22,0,22,Chilly
77,2017-12-04,5,2.0,83,2.7,0.0,0.0,Winter,False,1,36,64,100,Chilly
78,2017-12-04,6,1.2,76,3.7,0.1,0.0,Winter,False,1,44,56,100,Chilly
