state,law,veto,congress,justices,pki,pk
OH,0,0,1,1,0.5,0.6855828220858896
TX,1,1,1,1,1.0,0.6930051813471503
VA,1,1,0,1,0.75,0.7158119658119658
WA,1,1,1,1,1.0,0.7172619047619048
PA,1,1,1,1,1.0,0.6622222222222223
GA,1,0,0,0,0.25,0.6039603960396039
AL,1,1,0,1,0.75,0.6111111111111112
CA,0,1,0,0,0.25,0.7258566978193146
NH,1,1,1,1,1.0,0.7045454545454546
NJ,0,0,0,1,0.25,0.7
OH,1,1,1,1,1.0,0.6855828220858896
AL,1,0,0,0,0.25,0.6111111111111112
ND,0,0,1,1,0.5,0.6944444444444444
MT,0,0,0,0,0.0,0.7361111111111112
PA,1,1,1,1,1.0,0.6622222222222223
NY,1,0,1,1,0.75,0.7316810344827587
IL,1,0,1,1,0.75,0.6966911764705882
GA,0,0,0,1,0.25,0.6039603960396039
NJ,0,0,1,0,0.25,0.7
KS,1,0,1,1,0.75,0.75
CT,1,1,1,1,1.0,0.7205882352941176
IA,1,0,1,1,0.75,0.6938775510204082
FL,1,1,1,1,1.0,0.680628272251309
NY,1,1,1,1,1.0,0.7316810344827587
OR,1,0,1,1,0.75,0.6610169491525424
TX,1,0,1,1,0.75,0.6930051813471503
TX,1,0,1,1,0.75,0.6930051813471503
OR,1,0,0,0,0.25,0.6610169491525424
IL,1,1,1,1,1.0,0.6966911764705882
IN,1,0,0,1,0.5,0.6658415841584159
GA,0,0,1,1,0.5,0.6039603960396039
MI,0,1,1,1,0.75,0.7061068702290076
NC,0,0,0,1,0.25,0.6365384615384615
FL,1,0,1,1,0.75,0.680628272251309
NY,1,0,1,1,0.75,0.7316810344827587
AL,0,0,0,1,0.25,0.6111111111111112
CA,1,1,1,1,1.0,0.7258566978193146
VA,1,1,1,1,1.0,0.7158119658119658
AR,1,0,0,1,0.5,0.6214285714285714
NY,1,1,0,1,0.75,0.7316810344827587
NC,0,0,0,0,0.0,0.6365384615384615
MN,1,1,0,1,0.75,0.7476190476190476
MA,1,1,1,1,1.0,0.7105263157894737
CA,0,0,0,0,0.0,0.7258566978193146
FL,1,0,0,1,0.5,0.680628272251309
DE,1,0,0,0,0.25,0.75
FL,1,0,1,1,0.75,0.680628272251309
MI,1,1,1,1,1.0,0.7061068702290076
OK,0,0,0,1,0.25,0.6363636363636364
SD,1,1,1,1,1.0,0.7
CA,1,1,1,1,1.0,0.7258566978193146
GA,1,1,1,1,1.0,0.6039603960396039
TX,1,1,1,1,1.0,0.6930051813471503
MO,1,1,0,1,0.75,0.7005208333333334
CA,0,1,1,1,0.75,0.7258566978193146
MN,1,0,1,0,0.5,0.7476190476190476
PA,1,0,0,0,0.25,0.6622222222222223
TX,0,0,0,1,0.25,0.6930051813471503
OR,1,0,1,1,0.75,0.6610169491525424
TX,1,0,1,1,0.75,0.6930051813471503
UT,1,0,0,0,0.25,0.756578947368421
MD,1,1,1,1,1.0,0.7225274725274725
OH,1,1,1,1,1.0,0.6855828220858896
TX,1,0,1,1,0.75,0.6930051813471503
AZ,1,1,1,1,1.0,0.7268518518518519
CA,1,0,1,1,0.75,0.7258566978193146
NY,0,0,0,0,0.0,0.7316810344827587
IA,1,1,1,0,0.75,0.6938775510204082
NY,1,1,1,1,1.0,0.7316810344827587
KS,1,1,1,1,1.0,0.75
MO,1,0,1,1,0.75,0.7005208333333334
WI,1,0,0,1,0.5,0.7091346153846154
MI,1,1,1,1,1.0,0.7061068702290076
VA,0,0,0,0,0.0,0.7158119658119658
MN,1,0,1,1,0.75,0.7476190476190476
LA,1,0,1,0,0.5,0.6217948717948718
CA,1,0,1,1,0.75,0.7258566978193146
MD,1,0,1,1,0.75,0.7225274725274725
LA,1,1,1,1,1.0,0.6217948717948718
CA,1,1,1,1,1.0,0.7258566978193146
NY,1,0,1,0,0.5,0.7316810344827587
CT,1,1,1,1,1.0,0.7205882352941176
MO,1,1,1,1,1.0,0.7005208333333334
CA,1,1,1,1,1.0,0.7258566978193146
SC,1,0,0,1,0.5,0.7067307692307693
IL,1,1,0,0,0.5,0.6966911764705882
CA,1,1,1,1,1.0,0.7258566978193146
CA,0,1,0,1,0.5,0.7258566978193146
MS,1,1,1,1,1.0,0.6370967741935484
CA,1,1,0,1,0.75,0.7258566978193146
OH,0,0,0,1,0.25,0.6855828220858896
FL,1,0,1,1,0.75,0.680628272251309
FL,1,0,1,1,0.75,0.680628272251309
OH,1,1,0,1,0.75,0.6855828220858896
VA,1,1,0,1,0.75,0.7158119658119658
MA,1,1,0,1,0.75,0.7105263157894737
AZ,1,0,1,1,0.75,0.7268518518518519
PA,0,0,0,0,0.0,0.6622222222222223
CA,1,1,1,1,1.0,0.7258566978193146
NY,1,1,1,1,1.0,0.7316810344827587
TN,1,1,1,1,1.0,0.6728723404255319
CA,1,0,1,1,0.75,0.7258566978193146
PA,1,0,0,1,0.5,0.6622222222222223
AL,1,1,1,1,1.0,0.6111111111111112
OH,1,1,1,0,0.75,0.6855828220858896
TX,0,0,1,0,0.25,0.6930051813471503
WA,1,0,1,1,0.75,0.7172619047619048
IL,1,0,1,1,0.75,0.6966911764705882
WI,1,0,1,1,0.75,0.7091346153846154
MD,0,1,0,1,0.5,0.7225274725274725
NV,1,0,1,1,0.75,0.7666666666666667
FL,0,0,0,0,0.0,0.680628272251309
AZ,1,0,0,0,0.25,0.7268518518518519
NY,1,1,1,1,1.0,0.7316810344827587
NC,1,1,1,1,1.0,0.6365384615384615
SC,1,1,1,1,1.0,0.7067307692307693
TN,1,0,1,1,0.75,0.6728723404255319
OR,1,1,1,1,1.0,0.6610169491525424
IN,0,0,0,0,0.0,0.6658415841584159
CA,1,0,1,1,0.75,0.7258566978193146
TN,1,0,1,1,0.75,0.6728723404255319
NJ,0,1,0,1,0.5,0.7
IL,1,0,1,0,0.5,0.6966911764705882
PA,1,1,1,1,1.0,0.6622222222222223
OH,1,0,1,1,0.75,0.6855828220858896
CA,0,1,0,1,0.5,0.7258566978193146
NY,1,1,0,1,0.75,0.7316810344827587
FL,1,0,1,0,0.5,0.680628272251309
IN,1,0,0,1,0.5,0.6658415841584159
